Age,Length
1,26.91
2,28.08
2,33.93
2,35.1
2,29.25
3,42.12
3,37.44
3,42.12
3,37.44
3,40.95
3,42.12
4,44.46
5,49.14
5,50.31
6,52.65
6,53.82
7,56.16
7,60.84
8,74.88
8,73.71
4,42.12
4,42.12
4,38.025
4,40.95
4,40.95
5,46.8
5,45.63
5,45.045
5,40.95
5,40.95
7,60.84
7,60.84
2,31.941
2,29.484
2,29.484
2,30.42
2,25.857
2,26.442
2,29.367
2,29.25
2,26.325
2,25.506
2,25.272
2,31.59
2,23.4
2,22.23
2,23.985
2,27.495
2,24.57
2,28.665
2,25.74
2,22.23
2,23.4
2,22.815
2,24.57
2,28.08
2,22.815
2,26.91
2,27.261
2,22.581
2,18.135
1,18.135
1,18.72
1,19.305
2,29.25
2,29.835
2,24.57
2,29.835
2,26.91
3,38.961
3,41.535
3,33.93
3,34.515
3,43.29
3,44.46
3,42.705
3,42.471
3,39.78
3,34.515
3,36.27
3,37.44
3,33.93
3,37.44
3,35.685
3,39.195
3,33.345
3,31.005
3,34.515
3,41.535
3,39.78
3,42.12
3,42.12
3,37.44
3,41.535
3,35.1
3,42.12
3,36.27
3,44.46
3,43.875
3,38.61
3,37.44
3,40.95
3,38.61
3,39.78
3,42.12
3,37.44
3,39.78
3,35.1
3,38.61
3,38.61
3,31.005
3,32.76
3,30.42
3,31.59
3,35.1
3,34.515
3,33.93
3,36.27
3,33.93
3,39.78
3,31.59
3,35.1
3,33.93
3,36.27
3,43.29
3,32.76
3,33.93
3,31.59
3,33.93
3,33.93
3,33.93
3,39.78
3,33.93
3,35.1
3,40.95
3,40.95
3,42.12
3,38.61
3,36.27
3,33.345
3,31.59
3,31.59
3,31.59
3,31.59
3,38.61
3,36.27
3,40.95
3,35.1
3,33.345
3,32.175
3,27.495
3,33.345
3,35.1
3,35.1
3,36.27
3,39.78
3,42.12
3,32.76
3,33.345
3,36.27
4,50.31
4,49.14
4,51.48
4,47.97
4,52.65
4,50.895
4,52.065
4,40.365
4,47.97
4,47.97
4,48.204
4,47.97
4,46.215
4,48.555
4,50.193
4,49.257
4,49.842
4,53.235
4,47.385
4,47.034
4,52.65
4,53.235
4,55.575
4,47.385
4,39.78
4,51.831
4,52.65
4,54.405
4,52.065
4,52.65
4,52.065
4,50.31
4,50.895
4,54.405
4,48.555
4,47.97
4,49.14
4,51.48
4,47.97
4,49.14
4,54.99
4,54.99
4,52.65
4,49.14
4,51.48
4,45.63
4,46.8
4,52.65
4,44.46
4,44.46
4,40.95
4,42.12
4,43.29
4,43.29
4,42.12
4,45.63
4,49.14
4,51.48
4,44.46
4,45.63
4,44.46
4,43.29
4,44.46
4,44.46
4,45.63
4,43.875
4,45.045
4,49.725
4,45.63
5,60.84
5,56.16
5,59.67
5,54.99
5,57.33
5,56.745
5,57.33
5,58.5
5,54.99
5,60.84
5,54.99
5,59.085
5,55.575
5,59.67
5,56.745
5,60.84
5,58.5
5,62.01
5,58.5
5,59.67
5,54.99
5,56.16
5,51.48
5,63.18
5,57.33
5,56.16
5,60.84
5,58.5
5,54.99
6,66.69
6,60.84
6,66.69
6,69.03
6,72.54
6,72.54
6,70.2
6,70.2
6,64.35
7,74.88
7,72.54
7,72.54
8,80.145
